"","Species","colony_id","avg_temp_interval","Temperature","Light","Run","micromol.cm2.s","micromol.cm2.h","Stage","PAR","Pc"
"99","P. grandis","POG-168",34.6838733333333,"35","560",2,7.8101421646208e-05,0.281165117926349,"Adult",560,7.8101421646208e-05
"100","P. grandis","POG-168",37.8885477777778,"38","0",2,-0.000126801748822406,-0.456486295760663,"Adult",0,-0.000126801748822406
"101","P. grandis","POG-168",37.85775,"38","560",2,1.17232496116068e-05,0.0422036986017844,"Adult",560,1.17232496116068e-05
"102","P. grandis","POG-168",39.7671077777778,"40","0",2,-7.57079018812811e-05,-0.272548446772612,"Adult",0,-7.57079018812811e-05
"103","P. grandis","POG-168",39.7679744444444,"40","560",2,-6.05327447521047e-05,-0.217917881107577,"Adult",560,-6.05327447521047e-05
"104","P. grandis","POG-172",17.5812466666667,"17","0",3,-1.25353534439622e-05,-0.0451272723982638,"Adult",0,-1.25353534439622e-05
"105","P. grandis","POG-172",17.59553,"17","560",3,4.67303547751416e-05,0.16822927719051,"Adult",560,4.67303547751416e-05
"106","P. grandis","POG-172",21.37759,"21","0",3,-0.000100450363254556,-0.361621307716401,"Adult",0,-0.000100450363254556
"107","P. grandis","POG-172",21.658490625,"21","560",3,0.000116809061072708,0.420512619861748,"Adult",560,0.000116809061072708
"108","P. grandis","POG-172",24.1481344444444,"24","0",3,-0.000111502217670151,-0.401407983612545,"Adult",0,-0.000111502217670151
"109","P. grandis","POG-172",24.5810458333333,"24","560",3,0.000108713270522136,0.391367773879688,"Adult",560,0.000108713270522136
"110","P. grandis","POG-172",28.1785625,"28","0",3,-0.000138868099889296,-0.499925159601465,"Adult",0,-0.000138868099889296
"111","P. grandis","POG-172",28.35797,"28","560",3,0.000100888662649043,0.363199185536555,"Adult",560,0.000100888662649043
"112","P. grandis","POG-172",29.9696176870748,"30","0",3,-0.000144477320488746,-0.520118353759484,"Adult",0,-0.000144477320488746
"113","P. grandis","POG-172",30.1316197916667,"30","560",3,0.000118881042638799,0.427971753499675,"Adult",560,0.000118881042638799
"114","P. grandis","POG-172",31.7156955555556,"32","0",3,-0.000192459607135976,-0.692854585689514,"Adult",0,-0.000192459607135976
"115","P. grandis","POG-172",31.7391644444444,"32","560",3,0.000107485274268023,0.386946987364883,"Adult",560,0.000107485274268023
"116","P. grandis","POG-172",34.8162833333333,"35","0",3,-0.000192489423052188,-0.692961922987878,"Adult",0,-0.000192489423052188
"117","P. grandis","POG-172",35.04783,"35","560",3,7.78753428777279e-05,0.280351234359821,"Adult",560,7.78753428777279e-05
"118","P. grandis","POG-172",37.6654577777778,"38","0",3,-0.000143385610083742,-0.516188196301473,"Adult",0,-0.000143385610083742
"119","P. grandis","POG-172",37.9483055555556,"38","560",3,-6.51755019574454e-05,-0.234631807046803,"Adult",560,-6.51755019574454e-05
"120","P. grandis","POG-172",39.3046533333333,"40","0",3,-0.000116452089847667,-0.419227523451602,"Adult",0,-0.000116452089847667
"121","P. grandis","POG-172",39.9753188888889,"40","560",3,-0.00011274011575549,-0.405864416719764,"Adult",560,-0.00011274011575549
"122","P. grandis","POG-178",17.2650422222222,"17","0",5,-7.36018650282839e-05,-0.264966714101822,"Adult",0,-7.36018650282839e-05
"123","P. grandis","POG-178",17.3023555555556,"17","560",5,6.50174216749857e-05,0.234062718029949,"Adult",560,6.50174216749857e-05
"124","P. grandis","POG-178",21.3509749715586,"21","0",5,-4.67504880314346e-05,-0.168301756913164,"Adult",0,-4.67504880314346e-05
"125","P. grandis","POG-178",21.5876966666667,"21","560",5,0.000102313768022156,0.368329564879763,"Adult",560,0.000102313768022156
"126","P. grandis","POG-178",23.99635,"24","0",5,-0.000101835898272508,-0.366609233781027,"Adult",0,-0.000101835898272508
"127","P. grandis","POG-178",24.2425244444444,"24","560",5,9.23084716879236e-05,0.332310498076525,"Adult",560,9.23084716879236e-05
"128","P. grandis","POG-178",27.8898233333333,"28","0",5,-0.000134867574644623,-0.485523268720644,"Adult",0,-0.000134867574644623
"129","P. grandis","POG-178",28.2336344444444,"28","560",5,9.93043596043041e-05,0.357495694575495,"Adult",560,9.93043596043041e-05
"130","P. grandis","POG-178",29.8726444444444,"30","0",5,-0.000138865932226624,-0.499917356015845,"Adult",0,-0.000138865932226624
"131","P. grandis","POG-178",30.3318633333333,"30","560",5,8.45129005708806e-05,0.30424644205517,"Adult",560,8.45129005708806e-05
"132","P. grandis","POG-178",31.70433,"32","0",5,-0.000165995669417926,-0.597584409904533,"Adult",0,-0.000165995669417926
"133","P. grandis","POG-178",31.9072344444444,"32","560",5,7.94054816404985e-05,0.285859733905794,"Adult",560,7.94054816404985e-05
"134","P. grandis","POG-178",34.5179166666667,"35","0",5,-0.000181051592080086,-0.651785731488308,"Adult",0,-0.000181051592080086
