Measurement Name :,Meas-641,,Generated On :,"13/11/2023, 18:11:48",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
13.11.23 17:02:08,1.3,240.39,232.07,229.53,211.7,239.75,232.39,217.28,214.17,232.07,228.26,226.99,208.01,237.82,223.53,214.48,207.39,217.28,211.39,223.84,205.56,238.46,208.62,228.89,216.03,,27,965,36,26.43,
13.11.23 17:02:23,1.55,240.39,232.7,229.53,213.24,239.1,232.39,215.72,211.39,234.94,232.39,226.99,208.31,238.14,226.99,217.9,205.56,217.28,209.54,225.73,202.81,242.65,205.86,226.99,219.46,,27,965,36,26.43,
13.11.23 17:02:38,1.8,243.62,235.26,230.16,210.77,236.86,233.02,219.77,211.39,233.02,229.84,227.31,209.54,232.39,226.99,218.21,206.17,215.1,210.16,225.73,204.33,242.65,205.86,228.58,222.59,,27,965,36,26.46,
13.11.23 17:02:53,2.05,243.62,232.07,231.11,210.77,236.22,233.34,219.46,212.63,233.02,230.16,228.58,209.85,232.07,227.94,216.03,206.78,213.86,210.16,226.99,200.68,234.62,208.62,233.66,218.83,,27,965,36,26.44,
13.11.23 17:03:08,2.3,242.97,233.98,230.48,212.01,240.07,232.39,220.08,213.86,236.86,231.43,226.05,210.47,236.86,229.84,219.77,205.56,216.34,212.63,229.21,206.78,236.86,210.16,230.8,216.65,,27,965,36,26.47,
13.11.23 17:03:23,2.55,244.92,233.02,230.8,212.01,241.04,230.8,219.46,214.48,234.3,235.26,230.8,211.39,233.02,230.8,216.65,206.47,217.59,215.41,229.53,208.93,241.04,208.93,230.16,220.71,,27,965,36,26.49,
13.11.23 17:03:38,2.8,244.92,233.34,231.11,212.93,240.07,231.75,220.71,212.63,236.86,233.34,229.21,210.47,226.68,227.31,219.46,208.01,210.77,213.55,229.84,206.78,240.71,207.39,233.66,224.47,,27,965,36,26.5,
13.11.23 17:03:53,3.05,245.24,231.75,232.7,213.86,242.33,234.94,221.96,212.93,237.5,233.98,228.26,211.7,227.31,228.58,220.4,209.54,217.9,215.1,229.53,207.09,241.36,210.47,232.07,222.59,,27,965,36,26.51,
13.11.23 17:04:08,3.3,244.92,234.62,234.3,214.48,241.04,235.26,220.4,213.55,237.18,232.7,230.8,209.54,226.99,229.84,219.77,207.7,214.17,212.93,229.21,208.62,240.71,208.62,229.84,219.15,,27,965,36,26.54,
13.11.23 17:04:23,3.55,246.54,234.62,233.98,212.93,239.1,235.26,220.4,213.55,233.34,235.26,229.84,211.7,226.68,229.84,216.65,206.17,217.28,213.55,229.84,207.39,238.78,207.09,231.11,221.33,,27,965,36,26.54,
13.11.23 17:04:38,3.8,242.97,232.7,231.75,211.08,240.07,235.26,219.77,214.17,237.18,233.66,231.11,209.54,226.99,229.84,217.9,207.09,215.41,212.93,230.8,204.03,242.97,210.16,234.3,218.83,,27,965,36,26.55,
13.11.23 17:04:53,4.05,246.54,233.98,232.7,212.32,241.04,233.66,220.4,212.63,238.14,234.62,230.16,211.08,223.84,228.89,218.21,206.78,212.93,214.17,231.75,204.33,241.04,207.39,233.66,215.72,,27,965,36,26.58,
13.11.23 17:05:08,4.3,245.57,233.34,231.11,213.86,240.07,230.8,221.33,213.24,237.18,234.3,229.21,210.16,221.96,228.89,218.21,206.47,212.01,214.79,232.7,206.47,234.94,207.09,234.3,218.83,,27,965,36,26.58,
13.11.23 17:05:23,4.55,246.87,234.3,232.07,210.77,240.39,234.62,217.9,216.65,236.54,236.54,230.16,211.7,225.42,232.07,220.4,208.31,215.41,213.86,231.75,204.03,245.57,214.48,231.11,217.28,,27,965,36,26.6,
13.11.23 17:05:38,4.8,243.95,233.34,231.11,212.63,242.97,234.62,223.22,216.03,236.22,236.22,228.58,212.32,221.96,231.75,220.08,207.7,216.34,213.55,231.43,207.09,237.18,204.33,232.07,221.65,,27,965,36,26.61,
13.11.23 17:05:53,5.05,247.19,233.98,232.7,213.24,241.68,234.94,221.02,215.1,239.75,239.43,233.02,209.54,218.52,228.58,218.52,209.54,213.55,215.41,234.3,203.72,233.34,212.01,234.62,220.4,,27,965,36,26.64,
13.11.23 17:06:08,5.3,246.22,233.02,233.98,211.39,240.39,234.94,223.22,212.01,236.86,235.26,231.11,208.93,216.65,233.02,217.59,208.01,213.55,214.48,231.43,205.86,241.68,208.93,235.58,216.97,,27,965,36,26.65,
13.11.23 17:06:23,5.55,245.24,233.66,233.98,213.55,242.97,233.66,220.08,213.55,235.58,233.98,231.11,209.54,222.27,230.16,223.53,204.33,213.24,215.1,230.8,205.25,237.18,208.93,230.8,216.97,,27,965,36,26.66,
13.11.23 17:06:38,5.8,246.87,234.94,231.75,210.47,240.39,235.58,218.83,213.86,236.86,236.54,230.16,208.62,217.28,232.07,221.96,208.01,210.16,213.86,234.3,203.11,243.62,211.7,231.43,218.52,,27,965,36,26.68,
13.11.23 17:06:53,6.05,246.22,236.54,230.48,214.17,241.36,238.46,219.77,212.63,237.82,234.3,231.75,209.23,221.65,229.53,220.4,205.86,212.32,213.86,233.34,205.86,233.34,210.47,235.58,224.16,,27,965,36,26.68,
13.11.23 17:07:08,6.3,247.19,233.98,231.43,213.24,239.75,234.94,221.02,213.86,237.18,235.26,231.43,210.16,217.59,230.48,220.08,206.17,213.55,212.63,232.07,205.25,243.62,210.47,233.66,221.02,,27,965,36,26.68,
13.11.23 17:07:23,6.55,247.84,234.94,232.7,210.77,238.46,233.98,222.9,213.24,236.86,235.9,232.39,207.7,216.65,230.16,219.77,208.62,212.32,214.48,230.48,208.93,239.43,211.7,233.34,217.28,,27,965,36,26.71,
13.11.23 17:07:38,6.8,247.84,234.3,234.3,212.32,239.43,234.62,220.71,215.72,238.78,234.3,230.48,211.7,218.52,233.98,219.77,208.01,209.85,214.48,229.84,206.47,245.57,205.86,231.11,218.21,,27,965,36,26.72,
13.11.23 17:07:53,7.05,246.22,233.98,230.8,211.7,238.78,233.98,220.4,216.65,238.14,237.18,232.07,207.7,214.79,228.58,219.46,206.17,212.32,213.24,231.75,206.17,241.68,208.93,235.26,218.52,,27,965,36,26.72,
13.11.23 17:08:08,7.3,246.87,233.66,232.39,209.85,243.3,237.5,219.46,216.34,239.75,235.9,232.07,208.62,214.48,231.11,220.08,205.86,213.24,215.72,233.98,201.29,233.34,210.16,229.84,216.65,,27,965,36,26.75,
13.11.23 17:08:23,7.55,246.22,234.3,234.94,212.01,235.9,235.9,220.71,212.63,237.82,235.26,231.75,208.01,214.48,229.21,219.77,206.17,212.32,213.24,233.66,201.29,233.34,207.39,230.16,219.46,,27,965,36,26.76,
13.11.23 17:08:38,7.8,245.89,236.22,231.43,208.31,240.39,235.58,223.84,214.79,235.58,236.86,231.43,207.39,216.65,231.11,219.46,209.85,208.31,214.48,235.26,203.72,232.07,208.01,233.02,217.9,,27,965,36,26.78,
13.11.23 17:08:53,8.05,247.19,233.98,232.39,211.39,241.68,233.98,220.4,218.83,238.14,235.58,233.02,208.62,216.97,229.53,221.33,206.78,206.78,213.86,232.07,204.33,234.94,207.7,230.16,222.27,,27,965,36,26.78,
13.11.23 17:09:08,8.3,245.24,234.3,232.07,208.31,243.3,235.9,219.15,218.83,238.78,237.18,232.7,203.72,216.97,232.07,218.21,207.39,208.93,213.86,230.8,203.42,237.5,205.86,230.8,218.21,,27,965,36,26.79,
13.11.23 17:09:23,8.55,245.57,234.62,232.07,211.08,241.68,236.86,218.21,217.9,238.14,233.98,230.16,207.39,212.93,228.89,217.28,207.39,205.86,214.79,232.07,202.5,240.07,212.01,232.7,220.08,,27,965,36,26.79,
13.11.23 17:09:38,8.8,247.19,233.34,229.53,209.54,241.68,233.34,219.15,218.83,237.18,234.94,232.7,205.86,214.17,230.48,221.96,206.47,205.86,213.86,232.07,205.25,223.22,208.93,234.3,221.65,,27,965,36,26.83,
13.11.23 17:09:53,9.05,245.57,233.34,233.66,211.39,240.71,233.34,220.4,221.33,238.46,235.58,229.84,204.94,214.17,229.53,219.15,208.01,208.01,214.17,230.8,206.17,229.53,210.47,233.34,215.1,,27,965,36,26.83,
13.11.23 17:10:08,9.3,246.87,234.94,233.02,207.7,239.1,237.18,221.65,221.33,239.43,235.26,229.21,205.86,214.48,229.84,221.65,206.47,204.94,214.48,230.8,208.01,227.94,212.32,232.07,216.65,,27,965,36,26.85,
13.11.23 17:10:23,9.55,248.17,235.9,232.39,208.31,241.68,236.22,220.4,219.46,235.58,232.39,232.39,204.64,212.32,228.89,220.08,208.31,203.72,214.17,229.21,206.17,227.63,207.7,232.7,218.21,,27,965,36,26.86,
13.11.23 17:10:39,9.82,246.22,234.62,230.8,208.31,239.75,233.98,221.65,221.65,238.14,234.62,231.11,205.86,211.08,230.48,220.08,209.23,205.86,215.41,234.94,205.86,227.31,207.39,231.43,223.84,,27,965,36,26.86,
13.11.23 17:10:54,10.07,246.22,231.11,230.48,207.39,241.68,235.9,219.15,221.02,238.14,234.94,232.07,204.94,213.86,229.53,218.21,208.62,206.78,214.17,234.94,204.64,229.21,210.47,232.39,224.16,,27,965,36,26.89,
13.11.23 17:11:09,10.32,246.54,233.98,229.84,206.17,238.14,231.43,218.21,222.27,239.43,235.58,231.11,204.94,214.17,231.43,222.27,206.17,209.23,212.01,230.48,202.5,229.53,207.7,232.39,215.72,,27,965,36,26.9,
13.11.23 17:11:24,10.57,245.89,232.7,231.11,207.09,240.07,237.18,218.83,223.53,237.5,235.9,233.02,204.64,208.01,232.7,219.77,203.72,204.94,215.72,233.98,201.59,229.84,207.7,232.39,215.72,,27,965,36,26.91,
13.11.23 17:11:39,10.82,247.52,232.07,231.11,205.86,240.07,235.58,220.08,223.84,236.86,233.66,230.16,205.56,212.32,229.84,219.77,205.86,207.09,213.55,232.39,201.29,229.53,204.94,233.02,217.59,,27,965,36,26.93,
13.11.23 17:11:54,11.07,249.47,231.43,231.75,207.09,240.07,235.26,217.59,221.65,233.98,236.86,234.3,202.81,210.47,230.8,220.08,204.94,208.31,215.1,231.75,200.98,233.98,212.01,233.02,224.47,,27,965,36,26.93,
13.11.23 17:12:09,11.32,248.5,234.94,229.53,206.47,241.04,234.62,220.4,221.96,239.75,238.78,232.39,203.11,211.39,229.84,216.65,207.09,206.17,212.32,231.75,207.7,225.73,210.77,233.02,225.73,,27,965,36,26.94,
13.11.23 17:12:24,11.57,247.52,234.62,232.39,208.01,240.07,237.18,220.08,224.47,240.39,237.82,230.48,202.81,210.16,229.84,217.59,207.7,207.09,214.17,232.39,201.9,223.53,210.77,235.9,216.97,,27,965,36,26.97,
13.11.23 17:12:39,11.82,245.89,233.34,230.8,207.39,238.14,233.66,218.52,221.02,236.86,233.34,230.16,203.42,214.48,228.89,218.52,206.17,208.31,212.32,233.34,207.09,227.63,210.77,234.94,217.9,,27,965,36,26.97,
13.11.23 17:12:54,12.07,247.84,233.02,230.48,206.78,242.97,236.54,220.4,223.22,236.86,237.18,230.16,198.86,214.17,231.75,219.15,205.56,204.94,212.63,232.7,204.33,236.22,209.23,230.8,214.17,,27,965,36,27,
13.11.23 17:13:09,12.32,249.47,233.98,230.8,208.31,237.18,236.22,219.15,222.9,238.78,236.86,231.75,203.72,216.34,230.8,216.03,205.86,203.72,214.17,233.34,203.42,231.75,212.01,230.16,220.71,,27,965,36,27.01,
13.11.23 17:13:24,12.57,246.87,233.66,232.07,207.39,235.58,236.54,221.02,224.47,234.94,236.22,232.39,197.65,210.16,230.16,216.34,208.01,202.81,214.48,229.53,204.03,240.39,210.77,230.16,219.77,,27,965,36,27.04,
13.11.23 17:13:39,12.82,248.5,230.8,230.16,205.25,237.5,237.5,221.65,225.1,239.75,236.22,232.39,198.56,212.32,230.8,218.21,207.7,204.94,212.32,236.22,204.64,233.98,209.23,235.58,221.02,,27,965,36,27.04,
13.11.23 17:13:54,13.07,248.17,231.75,228.26,207.7,242.33,236.86,219.77,220.71,240.07,236.54,230.8,202.2,213.86,229.53,217.9,206.47,206.47,213.86,230.8,200.68,236.54,208.01,233.02,215.1,,27,965,36,27.05,
13.11.23 17:14:09,13.32,246.87,232.7,232.07,207.39,241.04,233.66,218.83,222.59,239.75,235.26,230.48,201.59,210.16,233.66,218.83,205.86,207.09,212.32,227.31,201.59,229.53,206.17,233.02,221.02,,27,965,36,27.05,
13.11.23 17:14:24,13.57,247.84,232.07,230.16,205.86,240.07,235.9,219.46,220.4,238.78,236.22,230.48,200.68,207.39,228.26,221.33,208.62,206.17,211.7,229.84,202.81,233.98,204.94,230.8,216.34,,27,965,36,27.08,
13.11.23 17:14:39,13.82,249.8,232.39,232.07,205.25,237.5,235.26,217.28,221.02,235.26,236.54,233.98,198.86,210.77,230.16,220.08,207.09,202.81,213.86,230.48,200.98,232.07,211.08,232.07,216.03,,27,965,36,27.08,
13.11.23 17:14:54,14.07,248.17,233.66,231.43,205.56,237.82,236.86,219.15,220.08,240.39,233.98,232.07,199.17,208.93,228.58,217.9,205.56,202.81,212.01,232.07,200.98,232.39,209.54,231.75,211.39,,27,965,36,27.1,
13.11.23 17:15:09,14.32,248.82,233.66,229.84,206.17,240.39,233.98,217.28,222.27,237.18,238.46,233.98,197.65,206.78,231.11,218.52,210.77,200.68,213.86,231.75,200.98,236.22,210.77,230.48,219.15,,27,965,36,27.11,
13.11.23 17:15:24,14.57,247.84,232.07,228.58,205.56,238.46,233.34,219.46,219.77,239.1,235.58,232.7,198.56,207.7,231.75,217.9,205.56,202.81,212.63,232.7,198.86,232.07,207.7,232.39,215.41,,27,965,36,27.11,
13.11.23 17:15:39,14.82,245.89,232.39,228.89,205.25,240.39,235.26,217.59,219.77,234.3,234.62,233.66,196.45,209.85,231.11,216.65,206.17,202.81,213.24,232.7,201.9,234.3,209.23,233.02,213.24,,27,965,36,27.14,
13.11.23 17:15:54,15.07,246.22,233.66,229.84,205.86,241.36,233.02,218.21,219.15,237.18,237.5,235.26,197.96,207.09,230.16,216.97,204.94,202.81,214.48,230.16,198.86,230.16,209.23,226.68,218.21,,27,965,36,27.15,
13.11.23 17:16:09,15.32,248.17,234.3,228.58,203.72,239.43,237.82,218.21,222.27,238.46,235.9,234.62,196.75,207.09,228.26,220.08,209.54,201.9,215.41,231.11,202.5,232.39,213.86,235.9,214.17,,27,965,36,27.15,
13.11.23 17:16:24,15.57,248.17,233.34,228.89,204.64,240.71,234.3,218.21,222.27,239.75,235.26,232.07,196.14,207.39,231.43,217.9,208.62,199.77,212.93,231.43,202.5,230.48,209.85,234.3,219.46,,27,965,36,27.16,
13.11.23 17:16:39,15.82,248.17,231.75,228.58,204.94,240.39,236.86,218.52,219.15,239.43,233.34,230.16,194.04,204.94,231.11,217.28,210.16,205.25,211.39,228.89,200.98,234.3,209.54,232.39,225.42,,27,965,36,27.16,
13.11.23 17:16:54,16.07,248.82,234.3,229.21,201.59,241.36,235.9,217.9,220.71,237.5,234.94,232.7,199.77,204.94,229.53,221.02,209.54,202.81,213.24,228.89,197.65,234.3,205.25,226.99,219.77,,27,965,36,27.19,
13.11.23 17:17:09,16.32,248.17,233.34,232.07,203.42,237.82,234.3,217.59,218.83,236.54,237.18,230.16,195.84,208.31,235.26,221.96,206.78,201.9,213.55,228.58,202.81,230.48,209.54,229.84,217.9,,27,965,36,27.19,
13.11.23 17:17:24,16.57,247.84,232.7,226.99,203.42,238.46,234.62,216.34,221.96,238.14,234.62,233.34,198.86,204.94,232.7,214.79,205.86,203.72,211.08,233.02,201.9,223.53,204.64,228.89,217.28,,27,965,36,27.21,
13.11.23 17:17:39,16.82,247.52,235.26,230.16,206.47,243.62,234.3,216.03,222.59,238.46,240.39,233.02,194.64,206.17,229.53,220.4,207.7,204.33,213.55,233.66,198.86,226.36,208.31,230.48,215.72,,27,965,36,27.22,
13.11.23 17:17:55,17.08,249.15,235.9,229.21,204.33,239.75,234.3,217.9,221.65,239.75,234.3,232.07,197.65,202.2,230.48,218.52,208.01,199.77,212.93,229.53,202.81,234.62,205.25,231.75,218.21,,27,965,36,27.24,
13.11.23 17:18:10,17.33,250.13,233.98,228.89,204.33,237.82,236.86,218.52,221.96,236.54,236.86,233.34,195.84,200.98,228.58,217.9,206.47,200.68,212.63,230.16,198.86,230.16,208.01,230.16,221.33,,27,965,36,27.25,
13.11.23 17:18:25,17.58,249.15,232.39,230.16,201.59,236.86,234.62,216.97,221.65,236.54,235.26,229.53,196.14,203.42,231.43,221.96,207.7,201.9,212.01,230.8,199.47,230.16,206.47,231.43,216.65,,27,965,36,27.26,
13.11.23 17:18:40,17.83,249.47,236.86,230.16,202.2,242,234.62,215.72,220.08,241.04,234.62,231.43,193.14,204.64,232.7,223.84,208.93,203.42,213.24,231.11,199.77,226.36,205.56,233.02,215.72,,27,965,36,27.26,
13.11.23 17:18:55,18.08,248.5,234.94,229.84,201.59,242.65,233.34,216.97,218.83,236.86,237.18,233.98,190.74,199.17,230.8,221.33,208.01,197.65,211.08,230.16,199.77,228.26,208.31,233.66,214.79,,27,965,36,27.28,
13.11.23 17:19:10,18.33,249.15,236.54,230.48,202.5,237.82,233.34,219.15,219.15,235.9,236.22,232.7,194.04,204.33,230.48,221.33,208.62,199.77,214.17,233.98,199.77,224.16,206.78,233.34,216.65,,27,965,36,27.29,
13.11.23 17:19:25,18.58,248.5,235.58,228.89,200.07,237.18,238.14,220.08,218.83,237.82,236.54,233.34,189.84,205.56,233.66,220.71,212.01,199.77,213.24,230.8,200.07,228.58,204.03,230.48,215.41,,27,965,36,27.29,
13.11.23 17:19:40,18.83,249.47,236.86,229.21,200.68,237.18,236.22,217.59,219.15,236.86,238.14,234.94,191.64,205.56,232.39,223.53,212.32,200.98,212.32,230.48,201.59,226.36,208.31,229.84,217.28,,27,965,36,27.3,
13.11.23 17:19:55,19.08,249.8,236.54,229.53,200.68,241.04,238.46,218.52,216.97,237.18,236.54,232.39,193.74,203.72,233.98,221.65,210.16,196.75,212.01,229.84,200.68,235.26,201.29,227.63,215.1,,27,965,36,27.32,
13.11.23 17:20:10,19.33,248.5,235.58,227.94,199.77,239.1,233.66,216.34,216.65,241.04,239.1,232.7,194.04,202.5,229.84,220.08,209.85,203.42,210.47,227.94,195.24,234.94,205.56,232.7,218.83,,27,965,36,27.32,
13.11.23 17:20:25,19.58,250.13,236.22,227.31,199.47,241.68,234.3,218.21,218.21,238.78,235.26,233.34,192.54,205.56,233.34,222.59,210.16,201.9,210.16,229.21,199.47,230.48,206.78,231.11,214.48,,27,965,36,27.32,
13.11.23 17:20:40,19.83,250.45,236.22,228.89,198.56,242,233.66,218.52,219.15,239.75,240.07,235.26,192.24,207.7,230.8,221.65,208.31,198.86,213.24,230.48,195.84,237.18,204.03,233.34,215.41,,27,965,36,27.33,
13.11.23 17:20:55,20.08,249.47,234.62,227.63,200.38,238.78,235.26,219.77,216.65,240.71,235.58,235.26,190.74,202.2,232.7,221.96,212.63,199.77,211.08,232.39,203.72,232.7,206.78,229.53,217.59,,27,965,36,27.35,
13.11.23 17:21:10,20.33,249.8,235.9,229.21,198.56,241.36,236.54,219.15,219.46,236.22,233.98,236.86,191.64,205.86,233.98,220.71,210.16,200.07,211.39,233.02,197.35,224.47,208.62,226.99,218.21,,27,965,36,27.35,
13.11.23 17:21:25,20.58,250.13,235.26,226.99,199.17,237.18,235.26,220.71,217.59,238.78,236.54,234.3,192.84,206.47,234.3,221.65,206.78,197.65,210.47,231.11,194.04,232.7,208.31,229.53,214.48,,27,965,36,27.36,
13.11.23 17:21:40,20.83,248.5,236.22,225.42,197.96,240.07,234.3,219.15,219.15,234.94,235.58,236.54,192.24,205.56,231.75,223.53,207.39,198.56,212.32,230.48,193.74,234.94,205.25,229.21,212.63,,27,965,36,27.36,
13.11.23 17:21:55,21.08,247.84,234.94,226.99,199.47,235.26,233.66,219.77,216.34,240.07,236.54,235.26,188.95,201.59,234.62,224.79,206.47,196.45,211.7,231.43,196.75,222.27,205.56,223.84,216.03,,27,965,36,27.39,
13.11.23 17:22:10,21.33,248.5,236.22,229.84,199.47,236.22,235.58,219.77,216.97,240.07,235.9,237.5,192.84,202.5,233.66,219.77,210.47,194.34,213.24,228.89,198.56,237.18,204.03,233.02,217.28,,27,965,36,27.38,
13.11.23 17:22:25,21.58,249.47,235.58,228.89,199.17,236.22,234.62,220.71,217.59,234.94,235.58,235.58,191.34,200.68,231.75,219.46,210.77,193.14,211.08,228.58,201.29,234.94,208.31,228.89,215.72,,27,965,36,27.4,
13.11.23 17:22:40,21.83,249.15,236.54,226.05,198.26,238.78,234.3,220.08,213.86,235.9,236.22,233.66,187.46,204.33,231.43,218.83,204.03,196.14,211.39,225.1,191.94,230.48,208.01,226.68,221.96,,27,965,36,27.41,
13.11.23 17:22:55,22.08,249.8,235.9,227.63,196.75,242.33,231.11,220.71,215.41,239.1,237.82,235.58,190.74,199.77,233.98,221.65,210.16,195.54,211.39,227.63,196.45,231.11,207.09,231.75,214.48,,27,965,36,27.41,
13.11.23 17:23:10,22.33,249.47,235.58,226.99,197.35,237.18,231.75,220.4,214.48,235.9,234.94,235.9,188.95,200.38,234.62,221.65,211.39,196.45,211.7,232.39,195.24,237.18,205.25,226.68,218.21,,27,965,36,27.43,
13.11.23 17:23:25,22.58,250.78,235.9,229.84,196.14,238.46,236.86,219.77,214.48,240.39,234.3,236.86,191.34,201.9,233.02,221.96,211.7,197.96,211.39,229.53,197.05,231.11,208.62,228.26,223.22,,27,965,36,27.43,
13.11.23 17:23:40,22.83,248.5,233.34,224.79,196.45,241.04,232.7,217.28,212.32,235.9,233.02,233.34,187.16,200.68,231.75,219.15,205.56,193.14,212.32,232.39,197.96,228.58,203.72,228.89,219.77,,27,965,36,27.43,
13.11.23 17:23:55,23.08,251.44,234.94,226.36,195.24,238.14,234.62,221.33,212.63,239.1,233.98,233.02,189.25,202.81,232.7,221.33,209.85,193.14,210.47,226.36,199.47,235.26,207.09,230.16,218.21,,27,965,36,27.46,
13.11.23 17:24:10,23.33,249.8,233.02,225.42,196.75,239.1,232.39,220.4,215.1,237.18,233.34,237.82,190.44,200.98,232.7,219.15,205.56,196.75,212.63,225.1,193.14,230.8,204.03,227.94,220.4,,27,965,36,27.46,
13.11.23 17:24:25,23.58,250.78,238.14,226.68,197.05,237.5,234.94,221.65,210.16,237.5,235.26,236.22,192.84,200.98,234.94,219.46,208.62,196.75,212.93,226.36,194.04,228.89,204.33,227.94,217.28,,27,965,36,27.47,
13.11.23 17:24:40,23.83,250.78,236.54,226.99,196.75,237.5,238.46,219.15,212.63,235.26,235.9,235.58,185.38,197.65,230.8,222.27,207.7,191.04,209.23,233.66,195.24,230.8,200.98,227.94,217.9,,27,965,36,27.47,
13.11.23 17:24:55,24.08,251.44,234.3,226.36,194.94,241.04,233.66,221.33,212.01,235.26,238.78,234.3,186.57,195.84,232.07,223.22,208.93,195.54,209.23,227.63,192.54,233.02,202.5,232.07,218.21,,27,965,36,27.47,
13.11.23 17:25:10,24.33,250.78,234.62,226.36,196.45,236.54,234.94,219.15,213.86,237.5,237.18,236.86,187.76,195.84,231.11,223.22,208.93,196.75,212.93,226.05,194.34,226.68,205.56,230.8,219.46,,27,965,36,27.49,
13.11.23 17:25:25,24.58,251.44,235.58,226.68,194.34,237.18,232.7,219.77,211.08,237.18,236.54,233.98,188.95,196.75,230.8,221.96,207.09,194.34,210.47,226.36,191.34,226.68,206.78,228.89,214.48,,27,965,36,27.51,
13.11.23 17:25:40,24.83,251.44,234.94,226.68,197.35,234.62,235.58,220.4,212.01,236.22,237.82,236.54,186.57,194.64,230.8,220.08,210.47,193.14,210.47,231.75,196.75,237.18,206.78,233.34,221.33,,27,965,36,27.51,
