Measurement Name :,Meas_20231114-641,,Generated On :,"14/11/2023, 17:35:24",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
14.11.23 14:57:47,7.28,190.28,213.22,208.68,212.61,164.75,174.95,208.98,212.91,209.59,183.87,195.27,171.82,178.1,174.1,207.18,201.5,228.25,203.88,220.23,203.88,193.5,174.38,215.65,216.26,,28,965,36,27.22,
14.11.23 14:58:02,7.53,190.28,212.61,208.98,212.61,165.59,175.24,209.29,212.31,209.29,185.32,193.5,171.25,178.39,174.1,207.48,201.79,229.18,204.18,220.54,202.39,195.57,173.81,216.87,217.17,,28,965,36,27.22,
14.11.23 14:58:17,7.78,189.98,212.61,208.38,212.31,166.44,174.38,209.29,212.91,208.68,183.87,194.68,169.55,176.1,174.38,206.88,201.79,229.18,203.88,219.62,203.58,191.16,174.67,216.56,217.48,,28,965,36,27.25,
14.11.23 14:58:32,8.03,189.4,212,208.98,211.4,165.03,173.53,208.08,212.61,208.38,183,193.8,168.98,176.1,173.53,206.58,201.2,229.18,203.28,219.31,202.99,191.45,173.81,215.95,218.7,,28,965,36,27.25,
14.11.23 14:58:47,8.28,188.82,211.4,208.38,211.4,165.03,173.81,207.78,212.61,207.78,183,192.92,168.42,175.81,172.1,206.58,200.6,227.94,202.99,218.39,203.28,191.16,174.1,215.34,217.48,,28,965,36,27.26,
14.11.23 14:59:02,8.53,188.52,211.7,208.38,210.79,165.59,173.53,208.08,212.31,208.38,183.58,191.74,167,176.96,171.53,205.98,200.01,228.87,203.88,219.62,202.69,189.4,173.24,216.26,216.87,,28,965,36,27.26,
14.11.23 14:59:17,8.78,188.52,210.79,208.68,211.1,163.91,173.81,208.08,212.31,207.48,180.69,191.45,167,176.1,170.11,205.68,200.3,228.87,203.88,219.62,202.39,191.45,173.53,215.65,216.26,,28,965,36,27.28,
14.11.23 14:59:32,9.03,188.23,211.1,208.08,210.79,164.47,173.53,208.08,212.31,207.78,180.69,190.86,165.88,175.24,170.11,206.28,200.01,229.5,202.99,219.31,202.09,190.86,172.96,214.73,218.09,,28,965,36,27.29,
14.11.23 14:59:47,9.28,188.23,211.1,207.48,210.49,164.47,171.82,207.48,212.61,207.78,180.69,191.16,165.59,176.1,170.68,205.08,200.01,229.81,203.88,219.01,201.5,191.45,173.24,214.73,216.87,,28,965,36,27.29,
14.11.23 15:00:02,9.53,187.65,210.19,208.08,210.49,163.35,172.39,206.88,212,206.88,181.56,189.98,164.75,174.95,168.98,205.08,200.01,228.87,203.28,219.01,201.79,189.11,171.25,214.13,216.26,,28,965,36,27.29,
14.11.23 15:00:17,9.78,187.65,210.19,208.38,209.59,163.35,171.53,207.48,211.7,207.48,179.25,189.69,163.91,174.67,167.29,205.38,199.71,229.18,202.99,218.7,201.79,188.52,172.96,215.04,215.65,,28,965,36,27.32,
14.11.23 15:00:32,10.03,187.94,210.19,208.68,209.89,163.07,171.82,206.88,212,207.48,180.69,189.4,163.63,174.38,167,205.08,198.52,229.81,203.28,218.39,201.5,187.36,171.82,213.82,216.56,,28,965,36,27.32,
14.11.23 15:00:47,10.28,187.07,209.59,208.08,209.89,162.23,170.68,206.58,211.4,206.58,179.54,188.52,162.23,173.53,165.88,204.48,197.93,229.81,202.69,217.78,201.5,191.74,169.83,213.22,215.34,,28,965,36,27.33,
14.11.23 15:01:02,10.53,187.07,209.59,208.38,208.98,161.95,170.4,206.88,210.79,205.98,178.68,187.94,161.67,172.1,165.03,204.18,199.12,228.87,202.69,218.7,201.2,187.65,169.55,213.22,216.26,,28,965,36,27.36,
14.11.23 15:01:17,10.78,186.19,209.59,207.78,208.98,162.23,170.4,205.98,211.7,205.08,177.82,187.07,161.39,172.67,164.47,205.08,198.82,228.56,202.39,218.09,200.6,185.61,169.83,212.31,214.13,,28,965,36,27.38,
14.11.23 15:01:32,11.03,186.19,209.29,207.18,208.98,161.67,170.97,206.28,211.4,205.68,178.68,187.65,160.83,172.67,164.47,204.78,197.93,229.81,202.39,219.31,200.01,186.78,169.55,211.1,215.65,,28,965,36,27.38,
14.11.23 15:01:47,11.28,186.19,209.29,208.08,208.68,161.39,170.11,205.98,211.7,205.38,177.24,186.48,159.99,172.39,162.79,204.48,197.64,229.81,202.09,218.39,200.6,189.11,170.11,212.91,215.34,,28,965,36,27.39,
14.11.23 15:02:02,11.53,186.48,208.38,206.88,208.08,160.55,170.4,205.38,211.7,204.78,177.24,185.9,159.43,171.25,162.51,205.08,197.93,229.81,202.09,217.17,200.6,186.48,169.83,212.61,215.34,,28,965,36,27.4,
14.11.23 15:02:17,11.78,185.32,208.38,208.08,208.38,160.83,170.11,205.38,211.7,205.38,176.96,185.9,159.15,171.53,162.51,203.28,197.34,229.81,202.39,217.78,200.01,186.78,168.98,212,214.43,,28,965,36,27.4,
14.11.23 15:02:32,12.03,186.19,208.68,207.78,208.68,160.27,170.11,205.68,211.7,204.18,176.38,186.19,158.32,172.96,159.99,203.88,197.64,230.74,202.69,217.78,200.6,187.36,168.13,212.61,215.34,,28,965,36,27.4,
14.11.23 15:02:47,12.28,185.32,208.08,208.08,208.08,160.83,170.4,205.08,211.7,203.28,175.81,185.9,157.76,170.97,160.55,205.08,197.34,230.43,202.39,217.48,199.41,188.23,168.7,212.61,214.73,,28,965,36,27.4,
14.11.23 15:03:02,12.53,184.45,207.78,208.08,208.08,160.83,169.83,205.08,211.7,203.88,174.67,185.32,156.93,170.4,160.27,203.58,197.93,231.36,202.09,217.48,198.52,184.16,167.57,212,214.73,,28,965,36,27.41,
14.11.23 15:03:17,12.78,184.74,207.78,207.78,207.18,160.27,170.4,204.78,211.4,203.28,174.38,185.32,156.37,169.83,158.32,203.58,197.34,230.43,201.79,217.17,199.41,182.71,168.98,211.7,214.13,,28,965,36,27.41,
14.11.23 15:03:32,13.03,202.99,211.1,211.1,215.95,151.4,172.39,202.99,227.32,220.84,181.56,181.85,153.88,177.82,163.35,219.01,194.09,254.55,201.2,221.15,202.09,179.25,161.95,216.87,232.3,,28,965,36,27.43,
14.11.23 15:03:47,13.28,183.87,199.12,207.78,211.4,164.75,164.19,209.59,208.38,200.9,174.1,180.12,161.11,174.1,153.05,207.78,191.16,220.54,204.48,222.07,210.49,198.23,149.48,220.54,227.32,,28,965,36,27.44,
14.11.23 15:04:02,13.53,183.87,215.95,215.04,215.04,161.67,172.1,209.59,212.31,205.08,174.95,178.1,159.15,168.98,158.87,208.98,194.68,234.8,195.27,215.95,211.1,165.59,156.93,212.61,204.48,,28,965,36,27.47,
14.11.23 15:04:17,13.78,185.03,211.4,208.08,210.19,157.76,179.54,211.1,221.46,200.6,175.52,189.69,158.32,170.68,156.1,205.68,197.93,249.39,203.28,229.18,204.78,183,178.39,207.18,230.43,,28,965,36,27.5,
14.11.23 15:04:32,14.03,183.29,208.08,206.88,206.28,159.15,168.98,203.28,211.1,202.09,172.96,182.42,153.33,168.13,156.1,202.69,195.57,231.36,200.9,217.48,198.23,183.58,165.88,210.49,214.43,,28,965,36,27.51,
14.11.23 15:04:47,14.28,144.28,191.45,150.3,198.52,194.98,128.69,145.37,207.78,223.61,134.56,204.78,164.47,174.1,115.3,189.11,197.64,333.43,223.61,164.75,225.46,155.26,217.48,242.06,207.78,,28,965,36,27.51,
14.11.23 15:05:02,14.53,183,208.98,207.18,206.28,157.48,168.42,203.28,211.7,201.2,171.53,181.56,152.23,167.85,155.26,201.5,195.57,231.05,200.6,216.26,197.93,184.16,166.16,209.29,213.52,,28,965,36,27.53,
14.11.23 15:05:17,14.78,183.29,208.38,210.49,205.98,156.37,166.16,203.28,216.26,199.12,171.25,186.78,155.82,166.16,155.54,203.58,196.75,233.24,203.58,217.78,201.2,183,169.55,208.08,220.54,,28,965,36,27.51,
14.11.23 15:05:32,15.03,195.57,202.39,209.59,176.38,107.81,124.72,218.7,209.29,173.24,126.31,193.5,196.45,135.1,154.16,221.77,243.65,257.46,194.98,233.86,232.93,207.48,114.52,211.7,345.18,,28,965,36,27.54,
14.11.23 15:05:47,15.28,184.45,196.16,159.99,142.65,172.67,105.25,186.19,180.69,211.4,143.47,138.32,71.89,102.69,115.3,150.57,169.55,170.4,144.83,172.1,125.52,284.98,75.29,123.41,142.92,,28,965,36,27.54,
14.11.23 15:06:02,15.53,140.21,147.01,211.1,177.53,107.55,99.9,237.95,164.19,195.57,172.96,184.16,167.29,206.88,182.42,166.16,223.3,227.63,156.65,157.48,184.16,67.06,55.63,249.07,106.27,,28,965,36,27.54,
14.11.23 15:06:17,15.78,181.56,210.19,206.88,205.38,157.21,167.57,202.69,212,200.3,170.4,180.4,149.2,166.16,151.95,201.5,194.98,230.74,200.3,215.65,196.75,183.58,163.63,208.08,212.61,,28,965,36,27.55,
14.11.23 15:06:32,16.03,179.83,221.77,254.87,177.24,88.84,174.95,204.18,224.85,128.16,236.69,174.1,171.53,174.95,126.04,198.23,168.7,273.24,218.7,251,213.22,239.84,278.24,220.84,257.14,,28,965,36,27.55,
14.11.23 15:06:47,16.28,214.13,246.19,175.52,218.7,186.48,135.9,235.75,186.48,205.98,152.5,160.83,102.18,135.1,209.89,154.43,176.1,279.59,196.75,246.83,180.4,287.02,111.93,260.39,238.89,,28,965,36,27.58,
14.11.23 15:07:02,16.53,176.38,291.45,288.72,235.75,147.28,255.52,230.12,251.96,180.4,252.29,237,192.92,148.1,239.21,178.39,212.31,182.42,308.42,224.85,231.05,263.66,302.13,246.83,214.43,,28,965,36,27.58,
14.11.23 15:07:17,16.78,189.98,223.92,207.18,223,193.5,157.76,267.61,200.6,248.75,216.56,210.19,136.71,176.1,276.24,176.1,230.74,319.02,364.72,184.74,251,180.12,667.22,330.16,289.06,,28,965,36,27.58,
14.11.23 15:07:32,17.03,168.98,223.92,220.54,238.89,107.55,205.68,227.63,202.69,238.58,162.79,194.39,135.9,179.25,163.35,187.07,222.69,154.16,219.01,163.35,244.6,188.52,215.95,126.84,358.65,,28,965,36,27.58,
14.11.23 15:07:47,17.28,171.53,271.58,218.09,183.29,222.07,177.82,263.66,215.65,234.18,116.86,212,199.12,145.1,76.02,118.16,280.26,136.98,106.52,217.78,316.89,324.39,85.86,151.67,514.2,,28,965,36,27.6,
14.11.23 15:08:02,17.53,147.28,100.66,195.86,177.24,165.59,125.52,205.38,216.26,107.04,156.93,144.56,165.31,184.16,242.69,219.62,203.58,221.15,200.9,165.03,193.8,354.13,135.9,134.56,202.99,,28,965,36,27.58,
14.11.23 15:08:17,17.78,112.96,143.2,150.85,183.58,52.57,48.35,139.94,176.1,101.17,126.31,135.63,166.16,133.22,178.39,154.99,170.4,175.81,214.73,180.4,152.5,18.3,41.16,103.97,324.03,,28,965,36,27.58,
14.11.23 15:08:32,18.03,133.49,138.05,224.85,147.28,184.74,124.2,254.22,181.27,267.94,168.13,213.22,110.38,276.24,158.04,262.35,169.83,376.65,194.68,264.97,241.42,155.26,61.56,126.84,79.69,,28,965,36,27.6,
14.11.23 15:08:47,18.28,186.78,249.71,280.26,200.9,103.46,116.34,190.86,140.76,174.38,95.35,118.16,99.39,206.28,6.64,81.42,144.83,220.23,173.53,178.1,146.19,41.62,348.52,402.33,< 0 µmol,,28,965,36,27.58,
14.11.23 15:09:02,18.53,151.4,198.23,186.19,164.19,94.09,96.11,238.89,195.27,212.91,95.6,158.87,121.83,222.69,85.86,125.25,119.47,338.91,223.3,69.96,127.63,360.54,123.93,13.21,219.92,,28,965,36,27.58,
14.11.23 15:09:17,18.78,153.05,77.49,182.42,224.23,125.25,27.03,245.88,224.54,110.38,159.43,186.78,190.28,73.1,107.55,141.57,215.65,< 0 µmol,244.28,134.83,168.13,34.06,195.27,72.86,227.94,,28,965,36,27.6,
14.11.23 15:09:32,19.03,124.72,172.96,242.06,172.39,152.23,207.48,227.63,189.69,189.11,215.95,131.89,172.96,181.27,88.84,152.78,277.91,273.24,141.84,361.68,296.94,81.91,38.86,305.62,123.14,,28,965,36,27.61,
14.11.23 15:09:47,19.28,217.48,189.69,200.01,248.75,246.83,151.4,149.2,262.02,212.31,161.67,154.43,196.75,146.19,180.69,194.68,246.51,302.13,219.62,249.39,269.92,452.82,263.66,381.32,106.27,,28,965,36,27.61,
14.11.23 15:10:02,19.53,161.95,301.44,224.23,176.1,11.23,< 0 µmol,275.57,150.02,341.86,88.34,163.91,29.06,216.56,< 0 µmol,207.48,146.46,< 0 µmol,337.45,334.52,53.74,> 707.6 µmol,455.86,394.73,67.06,,28,965,36,27.61,
14.11.23 15:10:17,19.78,191.16,245.56,205.68,247.79,150.3,145.92,199.12,237.63,225.46,227.01,202.39,109.61,156.37,125.25,275.9,276.24,263.99,299.36,351.14,242.38,26.35,250.68,163.63,245.88,,28,965,36,27.61,
14.11.23 15:10:32,20.03,89.09,221.46,262.35,145.65,86.6,145.65,278.92,158.6,208.98,191.74,211.7,101.17,137.25,119.21,142.11,117.38,151.95,173.24,127.63,221.46,639.5,100.15,339.28,348.15,,28,965,36,27.63,
14.11.23 15:10:47,20.28,146.46,321.16,377.81,420.69,427.33,216.26,420.69,290.76,208.38,219.01,< 0 µmol,156.37,< 0 µmol,140.76,421.93,134.03,> 707.6 µmol,< 0 µmol,107.81,0,67.78,348.15,< 0 µmol,< 0 µmol,,28,965,36,27.63,
14.11.23 15:11:02,20.53,121.3,137.52,243.96,170.68,103.2,122.88,240.47,136.44,226.39,138.86,208.98,55.16,230.43,135.63,239.21,94.6,304.57,187.65,322.95,88.1,7.07,292.13,375.48,< 0 µmol,,28,965,36,27.64,
14.11.23 15:11:17,20.78,212.31,229.5,217.17,173.53,202.09,117.38,218.7,233.86,358.27,115.56,202.39,180.12,93.84,206.88,237,226.39,104.73,246.83,330.89,246.19,319.02,202.99,103.71,67.3,,28,965,36,27.64,
14.11.23 15:11:32,21.03,210.19,96.61,201.5,192.62,101.17,145.65,158.6,212.31,164.47,185.32,121.3,135.1,85.37,120.26,113.22,223.61,< 0 µmol,200.3,189.11,205.38,< 0 µmol,< 0 µmol,391.94,86.36,,28,965,36,27.65,
14.11.23 15:11:47,21.28,188.52,171.53,197.04,173.24,158.6,193.21,179.54,250.68,205.68,128.43,162.23,208.08,153.61,114.52,266.95,154.71,235.43,144.01,219.62,142.11,< 0 µmol,60.37,63.47,295.91,,28,965,36,27.65,
14.11.23 15:12:02,21.53,183.29,208.98,203.28,220.23,175.52,144.28,185.9,248.43,225.77,154.16,201.2,208.68,69.23,82.4,304.92,241.42,213.52,376.65,337.81,281.94,135.37,161.67,292.47,595.74,,28,965,36,27.65,
14.11.23 15:12:17,21.78,208.68,264.97,257.79,242.06,254.87,148.1,239.84,234.49,257.14,154.71,166.72,142.11,103.71,178.97,138.59,178.1,144.83,302.83,164.47,258.76,461.53,359.41,386.02,423.59,,28,965,36,27.66,
14.11.23 15:12:32,22.03,211.1,184.74,176.38,221.15,206.28,119.99,193.21,195.27,269.59,131.89,115.3,167.57,104.99,99.14,185.9,196.16,314.05,185.61,177.24,254.87,177.24,113.22,65.38,235.43,,28,965,36,27.66,
14.11.23 15:12:47,22.28,203.58,215.34,264.32,192.04,209.29,122.09,266.62,257.79,196.75,91.59,201.2,188.23,222.07,76.27,171.82,148.65,146.19,165.31,200.3,157.21,198.82,183,97.87,93.34,,28,965,36,27.68,
14.11.23 15:13:02,22.53,129.49,265.3,183,217.17,85.61,196.75,202.39,186.48,148.1,181.85,233.24,94.35,124.2,128.96,246.83,230.12,427.75,200.9,308.07,307.72,603.66,54.68,420.69,545.46,,28,965,36,27.69,
14.11.23 15:13:17,22.78,227.63,254.87,217.17,173.53,221.15,135.63,263.66,238.89,187.36,154.16,198.23,117.12,159.99,169.83,199.12,115.04,156.93,212,240.47,92.09,224.54,72.86,262.35,138.32,,28,965,36,27.69,
14.11.23 15:13:32,23.03,142.92,230.74,210.19,181.56,197.34,165.59,268.27,221.77,252.61,230.43,187.94,141.03,145.65,107.29,175.24,185.32,140.76,277.24,134.83,339.28,129.76,194.98,175.81,320.81,,28,965,36,27.68,
14.11.23 15:13:47,23.28,140.76,201.5,253.58,142.38,75.78,96.61,155.82,208.68,136.71,180.4,129.49,169.26,100.15,67.54,109.61,240.16,107.55,194.39,176.1,173.81,< 0 µmol,260.06,186.78,104.22,,28,965,36,27.71,
14.11.23 15:14:02,23.53,168.98,211.4,223,202.39,116.08,162.23,230.74,235.75,232.93,164.19,211.4,100.66,219.62,153.61,174.1,94.09,0,219.62,190.28,221.15,< 0 µmol,146.19,267.61,302.13,,28,965,36,27.71,
14.11.23 15:14:17,23.78,164.75,470.34,493.77,266.29,158.87,287.7,327.63,284.31,299.01,200.01,198.52,36.34,214.73,186.78,348.15,76.02,246.51,161.39,386.41,193.5,271.91,223.92,312.99,404.35,,28,965,36,27.72,
14.11.23 15:14:32,24.03,138.59,103.97,284.64,442.09,18.97,11.67,57.76,216.56,296.25,211.4,196.16,216.56,168.42,258.11,363.96,183,221.15,238.26,203.88,66.34,338.55,136.44,312.29,27.03,,28,965,36,27.72,
14.11.23 15:14:47,24.28,135.9,228.25,27.48,148.93,291.45,112.19,18.53,199.71,223.92,197.34,107.81,291.45,115.04,70.68,332.34,113.74,286.68,192.62,344.07,53.51,153.05,173.53,338.18,78.22,,28,965,36,27.72,
14.11.23 15:15:02,24.53,138.05,53.27,287.7,503.45,281.6,35.65,319.38,531.83,175.81,55.63,277.57,352.63,106.27,40.47,187.36,102.95,178.1,205.38,188.23,169.26,43.24,237.32,329.44,405.97,,28,965,36,27.74,
14.11.23 15:15:17,24.78,191.45,234.8,188.52,259.41,183,107.55,201.79,167,173.53,167.57,257.14,130.02,194.98,128.69,148.93,251.96,153.88,212.61,340.02,125.78,53.98,167,200.01,130.55,,28,965,36,27.74,
